category,subcategory,honoree,decade,year
Other,,Statue of Liberty dedication (impromptu).,1880,1886
Military,Individual,"Admiral Dewey, following return from Manila.",1890,1899
World Leaders,American,"Theodore Roosevelt, following return from his African safari.",1910,1910
Military,Individual,"General Pershing, commander of American Expeditionary Force",1910,1919
World Leaders,Europe,King Albert and Queen Elisabeth of Belgium,1910,1919
World Leaders,Europe,"Edward Albert, Prince of Wales.",1910,1919
Other,,"Albert Einstein, The only scientist to ever receive a ticker tape parade tribute.",1920,1921
Military,Foreign,"General Armando Diaz, Italian commander.",1920,1921
Military,Foreign,"Ferdinand Foch, Marshal of France.",1920,1921
Military,Foreign,"Joseph Joffre, Marshal of France.",1920,1922
World Leaders,Europe,"Georges Clemenceau, former premier of France.",1920,1922
World Leaders,Europe,"David Lloyd George, former prime minister of the United Kingdom.",1920,1923
Athletes,Team,"U.S. Olympic athletes (Paris, Chamonix)",1920,1924
Military,Group,Captain Paul C. Grening and the crew of the SS President Harding for heroic sea rescue.,1920,1925
Military,Group,Captain George Fried and the crew of the SS President Roosevelt for heroic sea rescue.,1920,1926
World Leaders,Europe,Crown Prince Gustaf Adolf and Crown Princess Louise of Sweden,1920,1926
Adventurers,Aviator,"Commander Richard Byrd and Floyd Bennett, flight over the North Pole",1920,1926
Athletes,Individual,"Bobby Jones, winner of the British Open golf tournament",1920,1926
Athletes,Individual,"Gertrude Ederle, first woman to swim the English Channel",1920,1926
Athletes,Individual,"Amelia Gade Corson, first mother and second woman to swim the English Channel",1920,1926
World Leaders,Europe,Queen Marie of Romania.,1920,1926
Adventurers,Aviator,"Charles Lindbergh, following solo transatlantic flight.",1920,1927
Adventurers,Aviator,Commander Richard Byrd and the crew of the America following transatlantic flight.,1920,1927
Adventurers,Aviator,Ruth Elder and George W. Haldeman following flight from New York City to the Azores.,1920,1927
World Leaders,Europe,"W. T. Cosgrave, President of the Executive Council of the Irish Free State.",1920,1928
Adventurers,Aviator,"Hermann Köhl, Major James Fitzmaurice, and Baron von Hünefeld following first westward transatlantic flight",1920,1928
Athletes,Team,U.S. Olympic athletes.,1920,1928
World Leaders,Europe,"Prince Ludovico Spada Potenziani, governor of Rome",1920,1928
Adventurers,Aviator,"Amelia Earhart, Wilmer Stulz, and Louis E. Gordon",1920,1928
Adventurers,Other,Aimé Tschiffely Swiss-Argentine Horse Rider from Buenos Aires to New York,1920,1928
Adventurers,Aviator,Hugo Eckener and the crew of the Graf Zeppelin,1920,1928
Military,Group,Captain George Fried and the crew of the America for rescue of the Italian freighter Florida,1920,1929
World Leaders,Europe,"James Ramsay MacDonald, prime minister of the United Kingdom",1920,1929
Other,,"Marquis Jacques de Dampierre, passenger aboard the Lafayette",1930,1930
World Leaders,Latin America,"Julio Prestes de Albuquerque, president-elect of Brazil.",1930,1930
Adventurers,Other,Rear Admiral Richard Byrd following expedition to Antarctica.,1930,1930
Athletes,Individual,"Bobby Jones, winner of the British Amateur and British Open golf tournaments.",1930,1930
